id,dwor_id_root,dwor_id_gas_prevented,dorg_id_root,dadr_id_root,dcal_id_gas_prevented_date,dtim_id_gas_prevented_time,latest
67,67,1067,17,50,27,14,Y
68,68,1068,13,6,41,18,Y
69,69,1069,18,40,10,9,Y
70,70,1070,3,20,6,17,Y
71,71,1071,7,10,35,11,Y
72,72,1072,13,38,41,21,Y
73,73,1073,3,20,28,24,Y
74,74,1074,8,4,16,3,Y
75,75,1075,14,8,30,20,Y
76,76,1076,20,4,20,22,Y
77,77,1077,6,8,1,23,Y
78,78,1078,5,45,1,6,Y
79,79,1079,16,23,34,17,Y
80,80,1080,9,11,24,5,Y
81,81,1081,9,47,8,1,Y
82,82,1082,11,28,18,17,Y
83,83,1083,3,17,37,21,Y
84,84,1084,3,32,30,17,Y
85,85,1085,12,4,32,19,Y
86,86,1086,6,24,11,9,Y
87,87,1087,4,37,8,8,Y
88,88,1088,17,1,3,1,Y
89,89,1089,8,3,31,12,Y
90,90,1090,13,10,12,2,Y
91,91,1091,18,46,42,14,Y
92,92,1092,8,21,16,14,Y
93,93,1093,11,18,5,19,Y
94,94,1094,12,8,33,22,Y
95,95,1095,2,12,15,17,Y
96,96,1096,2,26,5,15,Y
97,97,1097,10,50,20,11,Y
98,98,1098,3,36,30,1,Y
99,99,1099,12,13,19,19,Y
100,100,1100,10,48,40,8,Y
101,101,1101,15,24,38,16,Y
102,102,1102,7,47,35,8,Y
103,103,1103,5,1,27,1,Y
104,104,1104,8,35,23,21,Y
105,105,1105,1,22,1,22,Y
106,106,1106,13,48,20,4,Y
107,107,1107,7,34,16,14,Y
108,108,1108,16,4,10,23,Y
109,109,1109,9,6,3,8,Y
110,110,1110,17,27,24,15,Y
111,111,1111,3,38,7,17,Y
112,112,1112,5,41,26,3,Y
113,113,1113,19,37,4,14,Y
114,114,1114,5,16,19,9,Y
115,115,1115,11,26,21,11,Y
116,116,1116,15,18,15,3,Y
117,117,1117,7,9,38,4,Y
118,118,1118,5,7,11,15,Y
119,119,1119,15,21,27,4,Y
120,120,1120,18,23,14,15,Y
121,121,1121,10,30,17,4,Y
122,122,1122,3,11,20,23,Y
123,123,1123,20,3,14,11,Y
124,124,1124,5,6,16,12,Y
125,125,1125,13,33,4,22,Y
126,126,1126,10,17,12,1,Y
127,127,1127,13,29,36,24,Y
128,128,1128,18,16,7,15,Y
129,129,1129,4,9,8,1,Y
130,130,1130,2,50,15,5,Y
131,131,1131,7,26,24,22,Y
132,132,1132,3,38,38,9,Y
133,133,1133,3,2,5,7,Y
134,134,1134,15,9,6,11,Y
135,135,1135,4,3,30,2,Y
136,136,1136,6,37,28,24,Y
137,137,1137,13,32,2,13,Y
138,138,1138,14,12,23,7,Y
139,139,1139,6,18,18,15,Y
140,140,1140,5,3,40,20,Y
141,141,1141,20,16,42,10,Y
142,142,1142,16,27,36,16,Y
143,143,1143,2,6,18,13,Y
144,144,1144,5,27,13,21,Y
145,145,1145,17,16,41,18,Y
146,146,1146,1,25,23,16,Y
147,147,1147,18,32,23,19,Y
148,148,1148,17,21,25,9,Y
149,149,1149,6,2,21,20,Y
150,150,1150,8,2,18,2,Y
151,151,1151,16,34,23,19,Y
152,152,1152,8,11,7,8,Y
153,153,1153,8,18,35,24,Y
154,154,1154,2,49,15,19,Y
155,155,1155,13,23,12,6,Y
156,156,1156,8,38,21,24,Y
157,157,1157,12,38,2,23,Y
158,158,1158,12,37,37,5,Y
159,159,1159,19,13,32,18,Y
160,160,1160,10,12,32,2,Y
161,161,1161,3,4,15,20,Y
162,162,1162,8,2,34,16,Y
163,163,1163,1,22,40,7,Y
164,164,1164,5,22,12,11,Y
165,165,1165,2,2,10,19,Y
166,166,1166,5,50,8,17,Y
167,167,1167,12,5,24,23,Y
168,168,1168,13,38,7,11,Y
169,169,1169,10,21,9,6,Y
170,170,1170,14,41,32,21,Y
171,171,1171,11,12,36,23,Y
172,172,1172,20,23,15,22,Y
173,173,1173,19,12,25,10,Y
174,174,1174,10,9,12,24,Y
175,175,1175,1,45,37,13,Y
176,176,1176,19,3,12,20,Y
177,177,1177,11,40,15,21,Y
178,178,1178,19,7,32,5,Y
179,179,1179,11,48,5,8,Y
180,180,1180,12,21,11,21,Y
181,181,1181,3,46,43,21,Y
182,182,1182,11,29,1,9,Y
183,183,1183,7,16,5,12,Y
184,184,1184,9,7,1,2,Y
185,185,1185,13,29,27,6,Y
186,186,1186,14,32,25,12,Y
187,187,1187,18,25,7,16,Y
188,188,1188,19,42,15,6,Y
189,189,1189,15,5,3,10,Y
190,190,1190,1,21,17,4,Y
191,191,1191,3,22,11,13,Y
192,192,1192,6,47,5,18,Y
193,193,1193,3,22,39,20,Y
194,194,1194,16,46,2,14,Y
195,195,1195,6,39,28,6,Y
196,196,1196,2,7,22,7,Y
197,197,1197,7,27,36,24,Y
198,198,1198,18,17,43,10,Y
199,199,1199,10,16,7,2,Y
200,200,1200,13,37,36,16,Y
201,201,1201,5,4,24,1,Y
202,202,1202,14,6,19,22,Y
203,203,1203,20,31,13,4,Y
204,204,1204,1,14,11,21,Y
205,205,1205,10,6,31,4,Y
206,206,1206,10,26,31,16,Y
207,207,1207,9,6,42,18,Y
208,208,1208,13,12,24,13,Y
209,209,1209,12,12,29,2,Y
210,210,1210,9,29,30,9,Y
211,211,1211,8,18,37,2,Y
212,212,1212,5,49,43,4,Y
213,213,1213,3,43,23,18,Y
214,214,1214,14,49,38,8,Y
215,215,1215,18,4,25,17,Y
216,216,1216,14,35,31,19,Y
217,217,1217,8,31,20,3,Y
218,218,1218,13,46,3,17,Y
219,219,1219,19,34,37,22,Y
220,220,1220,20,10,8,15,Y
221,221,1221,6,11,14,7,Y
222,222,1222,5,3,28,3,Y
223,223,1223,14,13,41,5,Y
224,224,1224,20,17,21,24,Y
225,225,1225,3,6,25,18,Y
226,226,1226,13,36,21,9,Y
227,227,1227,17,30,1,23,Y
228,228,1228,20,38,34,14,Y
229,229,1229,4,27,10,5,Y
230,230,1230,19,38,38,4,Y
231,231,1231,4,37,7,10,Y
232,232,1232,18,23,27,9,Y
233,233,1233,13,42,32,19,Y
234,234,1234,20,31,3,6,Y
235,235,1235,9,26,10,20,Y
236,236,1236,20,44,26,2,Y
237,237,1237,13,22,16,2,Y
238,238,1238,16,18,24,1,Y
239,239,1239,11,20,20,9,Y
240,240,1240,16,45,7,8,Y
241,241,1241,5,20,29,11,Y
242,242,1242,9,47,27,20,Y
243,243,1243,3,13,29,7,Y
244,244,1244,14,48,32,17,Y
245,245,1245,12,4,33,6,Y
246,246,1246,3,20,33,13,Y
247,247,1247,5,50,34,19,Y
248,248,1248,1,12,13,7,Y
249,249,1249,2,16,3,15,Y
250,250,1250,2,24,13,9,Y
251,251,1251,12,30,33,13,Y
252,252,1252,4,44,2,8,Y
253,253,1253,12,32,39,15,Y
254,254,1254,6,31,38,18,Y
255,255,1255,12,23,11,9,Y
256,256,1256,3,19,2,13,Y
257,257,1257,2,11,37,7,Y
258,258,1258,8,42,15,22,Y
259,259,1259,7,18,42,14,Y
260,260,1260,17,2,1,16,Y
261,261,1261,5,42,12,20,Y
262,262,1262,1,15,17,20,Y
263,263,1263,10,46,42,9,Y
264,264,1264,14,25,23,15,Y
265,265,1265,9,14,30,10,Y
266,266,1266,17,40,26,19,Y
267,267,1267,4,1,33,22,Y
268,268,1268,12,36,42,20,Y
269,269,1269,20,19,20,22,Y
270,270,1270,4,31,5,11,Y
271,271,1271,9,41,21,9,Y
272,272,1272,9,42,42,10,Y
273,273,1273,7,10,34,8,Y
274,274,1274,2,39,26,22,Y
275,275,1275,11,44,9,24,Y
276,276,1276,1,42,32,10,Y
277,277,1277,9,27,26,13,Y
278,278,1278,2,38,37,7,Y
279,279,1279,11,47,15,22,Y
280,280,1280,18,41,31,22,Y
281,281,1281,12,33,20,6,Y
282,282,1282,18,12,19,4,Y
283,283,1283,16,9,17,24,Y
284,284,1284,18,49,12,22,Y
285,285,1285,11,42,6,8,Y
286,286,1286,12,15,20,14,Y
287,287,1287,11,24,17,19,Y
288,288,1288,10,30,8,16,Y
289,289,1289,2,41,38,19,Y
290,290,1290,20,5,31,7,Y
291,291,1291,17,8,25,17,Y
292,292,1292,10,27,4,5,Y
293,293,1293,5,13,22,14,Y
294,294,1294,19,30,10,11,Y
295,295,1295,6,50,6,16,Y
296,296,1296,11,41,12,11,Y
297,297,1297,2,1,29,9,Y
298,298,1298,7,49,11,19,Y
299,299,1299,6,32,6,5,Y
300,300,1300,20,28,41,14,Y
301,301,1301,13,28,31,13,Y
302,302,1302,1,3,35,7,Y
303,303,1303,12,1,21,17,Y
304,304,1304,7,2,1,21,Y
305,305,1305,8,15,23,10,Y
306,306,1306,5,7,25,17,Y
307,307,1307,19,20,11,3,Y
308,308,1308,2,20,19,15,Y
309,309,1309,17,39,34,11,Y
310,310,1310,14,44,9,11,Y
311,311,1311,16,23,13,6,Y
312,312,1312,13,2,15,8,Y
313,313,1313,5,14,2,19,Y
314,314,1314,17,11,8,12,Y
315,315,1315,2,25,41,9,Y
316,316,1316,18,40,4,20,Y
317,317,1317,2,43,7,21,Y
318,318,1318,1,4,8,14,Y
319,319,1319,15,25,8,18,Y
320,320,1320,9,31,10,7,Y
321,321,1321,1,20,27,22,Y
322,322,1322,4,43,34,9,Y
323,323,1323,20,39,9,14,Y
324,324,1324,4,33,40,4,Y
325,325,1325,10,8,7,16,Y
326,326,1326,7,39,13,9,Y
327,327,1327,17,13,23,23,Y
328,328,1328,14,19,11,2,Y
329,329,1329,18,32,14,23,Y
330,330,1330,16,22,16,1,Y
331,331,1331,1,43,6,4,Y
332,332,1332,19,43,32,5,Y
333,333,1333,3,50,33,3,Y
334,334,1334,4,17,42,8,Y
335,335,1335,15,19,17,15,Y
336,336,1336,2,7,12,2,Y
337,337,1337,10,24,21,14,Y
338,338,1338,4,7,3,1,Y
339,339,1339,5,43,42,6,Y
340,340,1340,11,23,29,20,Y
341,341,1341,9,47,6,12,Y
342,342,1342,11,12,8,13,Y
343,343,1343,13,30,18,13,Y
344,344,1344,16,27,42,6,Y
345,345,1345,4,9,4,6,Y
346,346,1346,4,27,38,16,Y
347,347,1347,19,44,29,6,Y
348,348,1348,20,25,23,20,Y
349,349,1349,1,44,9,16,Y
350,350,1350,16,8,27,15,Y
351,351,1351,2,5,17,21,Y
352,352,1352,11,1,34,24,Y
353,353,1353,19,47,37,8,Y
354,354,1354,11,34,34,23,Y
355,355,1355,20,7,28,22,Y
356,356,1356,8,31,23,22,Y
357,357,1357,13,10,36,20,Y
358,358,1358,2,1,42,6,Y
359,359,1359,17,31,32,6,Y
360,360,1360,3,49,32,11,Y
361,361,1361,8,22,18,2,Y
362,362,1362,17,15,36,21,Y
363,363,1363,13,26,16,3,Y
364,364,1364,15,29,37,15,Y
365,365,1365,3,32,29,11,Y
366,366,1366,4,32,42,1,Y
367,367,1367,4,26,27,2,Y
368,368,1368,18,36,1,3,Y
369,369,1369,20,40,41,10,Y
370,370,1370,17,36,14,21,Y
371,371,1371,15,22,24,2,Y
372,372,1372,8,30,22,18,Y
373,373,1373,20,39,31,23,Y
374,374,1374,12,46,29,4,Y
375,375,1375,4,49,43,8,Y
376,376,1376,1,22,23,21,Y
377,377,1377,10,36,34,12,Y
378,378,1378,4,3,11,16,Y
379,379,1379,5,46,27,4,Y
380,380,1380,9,40,13,7,Y
381,381,1381,4,26,14,15,Y
382,382,1382,7,46,22,4,Y
383,383,1383,14,3,41,22,Y
384,384,1384,19,8,29,15,Y
385,385,1385,19,33,9,16,Y
386,386,1386,1,34,4,18,Y
387,387,1387,14,38,31,17,Y
388,388,1388,6,45,38,6,Y
389,389,1389,5,7,25,22,Y
390,390,1390,20,39,21,17,Y
391,391,1391,13,27,39,23,Y
392,392,1392,8,18,26,11,Y
393,393,1393,10,29,9,5,Y
394,394,1394,14,39,33,10,Y
395,395,1395,18,21,36,21,Y
396,396,1396,7,13,14,20,Y
397,397,1397,10,44,23,22,Y
398,398,1398,5,46,42,6,Y
399,399,1399,17,35,41,11,Y
400,400,1400,4,49,23,18,Y
401,401,1401,16,38,37,22,Y
402,402,1402,14,44,35,10,Y
403,403,1403,14,1,34,4,Y
404,404,1404,1,25,10,2,Y
405,405,1405,2,13,18,6,Y
406,406,1406,10,44,17,5,Y
407,407,1407,2,45,19,7,Y
408,408,1408,18,3,23,15,Y
409,409,1409,4,40,36,8,Y
410,410,1410,18,25,16,17,Y
411,411,1411,10,45,43,2,Y
412,412,1412,13,25,27,22,Y
413,413,1413,11,36,4,1,Y
414,414,1414,9,13,40,15,Y
415,415,1415,8,41,42,12,Y
416,416,1416,19,35,39,7,Y
417,417,1417,7,19,29,6,Y
418,418,1418,3,12,12,24,Y
419,419,1419,17,8,25,2,Y
420,420,1420,14,18,36,9,Y
421,421,1421,5,11,38,9,Y
422,422,1422,1,22,30,23,Y
423,423,1423,5,3,10,11,Y
424,424,1424,20,4,41,20,Y
425,425,1425,10,32,37,18,Y
426,426,1426,12,5,21,17,Y
427,427,1427,8,12,34,3,Y
428,428,1428,17,11,27,18,Y
429,429,1429,18,26,6,12,Y
430,430,1430,8,14,43,11,Y
431,431,1431,11,24,19,7,Y
432,432,1432,20,34,31,18,Y
433,433,1433,1,8,43,12,Y
434,434,1434,15,16,42,20,Y
435,435,1435,20,16,3,22,Y
436,436,1436,11,25,8,13,Y
437,437,1437,9,35,19,1,Y
438,438,1438,17,50,24,17,Y
439,439,1439,17,29,32,2,Y
440,440,1440,10,42,13,11,Y
441,441,1441,17,6,7,6,Y
442,442,1442,18,35,1,21,Y
443,443,1443,3,14,43,21,Y
444,444,1444,7,44,28,4,Y
445,445,1445,7,35,28,21,Y
446,446,1446,3,48,10,1,Y
447,447,1447,15,46,22,2,Y
448,448,1448,3,5,4,6,Y
449,449,1449,9,36,5,19,Y
450,450,1450,8,17,27,13,Y
451,451,1451,15,41,26,14,Y
452,452,1452,11,2,25,22,Y
453,453,1453,4,35,1,21,Y
454,454,1454,20,5,38,2,Y
455,455,1455,3,23,33,4,Y
456,456,1456,10,44,20,20,Y
457,457,1457,3,19,29,13,Y
458,458,1458,13,43,2,16,Y
459,459,1459,6,35,15,5,Y
460,460,1460,13,35,19,21,Y
461,461,1461,5,20,42,12,Y
462,462,1462,1,36,36,5,Y
463,463,1463,4,3,1,19,Y
464,464,1464,20,26,35,18,Y
465,465,1465,3,20,14,24,Y
466,466,1466,12,14,27,21,Y
467,467,1467,17,10,11,6,Y
468,468,1468,8,40,17,7,Y
469,469,1469,4,12,43,19,Y
470,470,1470,2,49,36,15,Y
471,471,1471,18,5,19,22,Y
472,472,1472,3,17,7,7,Y
473,473,1473,19,32,22,12,Y
474,474,1474,5,43,42,8,Y
475,475,1475,4,19,40,3,Y
476,476,1476,7,21,32,15,Y
477,477,1477,11,40,43,10,Y
478,478,1478,19,10,37,19,Y
479,479,1479,12,21,28,6,Y
480,480,1480,1,21,16,8,Y
481,481,1481,14,18,24,5,Y
482,482,1482,11,31,30,15,Y
483,483,1483,12,50,20,16,Y
484,484,1484,18,7,12,21,Y
485,485,1485,20,6,18,5,Y
486,486,1486,18,13,17,24,Y
487,487,1487,3,47,5,1,Y
488,488,1488,17,41,2,19,Y
489,489,1489,19,26,38,7,Y
490,490,1490,2,36,17,18,Y
491,491,1491,18,31,42,5,Y
492,492,1492,12,26,15,19,Y
493,493,1493,10,9,30,17,Y
494,494,1494,17,6,26,12,Y
495,495,1495,17,1,43,8,Y
496,496,1496,20,44,11,17,Y
497,497,1497,5,29,11,6,Y
498,498,1498,19,37,43,5,Y
499,499,1499,16,23,3,8,Y
500,500,1500,16,15,5,9,Y
501,501,1501,12,15,3,22,Y
502,502,1502,7,34,24,13,Y
503,503,1503,16,30,3,2,Y
504,504,1504,11,7,34,21,Y
505,505,1505,9,48,17,19,Y
506,506,1506,18,37,12,13,Y
507,507,1507,13,24,38,21,Y
508,508,1508,3,34,17,13,Y
509,509,1509,8,34,26,12,Y
510,510,1510,12,32,31,20,Y
511,511,1511,1,33,9,15,Y
512,512,1512,6,15,5,17,Y
513,513,1513,9,14,10,6,Y
514,514,1514,6,24,39,23,Y
515,515,1515,4,43,15,14,Y
516,516,1516,11,47,8,16,Y
517,517,1517,16,31,14,19,Y
518,518,1518,6,42,27,1,Y
519,519,1519,8,3,9,19,Y
520,520,1520,19,11,9,21,Y
521,521,1521,17,3,37,5,Y
522,522,1522,2,11,17,6,Y
523,523,1523,17,26,39,19,Y
524,524,1524,1,47,43,10,Y
525,525,1525,3,14,29,20,Y
526,526,1526,16,31,11,8,Y
527,527,1527,14,39,10,19,Y
528,528,1528,6,40,43,17,Y
529,529,1529,9,11,22,15,Y
530,530,1530,20,38,5,8,Y
531,531,1531,13,25,9,4,Y
532,532,1532,1,13,34,17,Y
533,533,1533,14,10,39,4,Y
534,534,1534,6,31,40,20,Y
535,535,1535,2,35,33,4,Y
536,536,1536,3,31,43,5,Y
537,537,1537,20,35,1,22,Y
538,538,1538,14,34,27,12,Y
539,539,1539,2,45,34,14,Y
540,540,1540,8,31,25,12,Y
541,541,1541,19,48,37,4,Y
542,542,1542,14,9,17,16,Y
543,543,1543,8,6,19,20,Y
544,544,1544,18,27,17,7,Y
545,545,1545,1,46,1,19,Y
546,546,1546,17,8,34,1,Y
547,547,1547,13,42,14,23,Y
548,548,1548,11,27,24,4,Y
549,549,1549,5,28,42,19,Y
550,550,1550,9,17,35,14,Y
551,551,1551,19,24,40,9,Y
552,552,1552,13,49,14,14,Y
553,553,1553,18,36,31,6,Y
554,554,1554,12,36,36,16,Y
555,555,1555,9,20,37,12,Y
556,556,1556,13,48,9,22,Y
557,557,1557,4,48,15,15,Y
558,558,1558,6,7,14,17,Y
559,559,1559,13,22,36,20,Y
560,560,1560,2,11,25,21,Y
561,561,1561,1,6,10,16,Y
562,562,1562,20,28,6,3,Y
563,563,1563,9,15,24,3,Y
564,564,1564,20,3,25,13,Y
565,565,1565,20,42,34,10,Y
566,566,1566,20,4,12,21,Y
567,567,1567,16,29,1,7,Y
568,568,1568,17,19,13,2,Y
569,569,1569,20,33,34,23,Y
570,570,1570,8,40,11,22,Y
571,571,1571,2,24,16,21,Y
572,572,1572,1,11,6,9,Y
573,573,1573,13,23,43,13,Y
574,574,1574,13,38,13,17,Y
575,575,1575,1,48,5,3,Y
576,576,1576,18,19,36,19,Y
577,577,1577,12,23,18,8,Y
578,578,1578,20,13,30,13,Y
579,579,1579,19,1,17,6,Y
580,580,1580,14,33,7,18,Y
581,581,1581,3,33,19,11,Y
582,582,1582,4,33,17,18,Y
583,583,1583,19,17,29,13,Y
584,584,1584,19,31,16,11,Y
585,585,1585,15,44,30,19,Y
586,586,1586,1,31,8,9,Y
587,587,1587,3,25,41,8,Y
588,588,1588,8,21,27,12,Y
589,589,1589,17,35,1,23,Y
590,590,1590,9,16,19,3,Y
591,591,1591,13,44,22,3,Y
592,592,1592,18,12,31,11,Y
593,593,1593,12,14,37,9,Y
594,594,1594,6,48,13,16,Y
595,595,1595,7,16,16,9,Y
596,596,1596,7,15,13,8,Y
597,597,1597,20,23,10,4,Y
598,598,1598,4,6,43,16,Y
599,599,1599,20,1,35,2,Y
600,600,1600,16,24,40,11,Y
601,601,1601,16,37,18,16,Y
602,602,1602,6,49,33,9,Y
603,603,1603,13,15,37,5,Y
604,604,1604,2,34,28,16,Y
605,605,1605,18,3,33,12,Y
606,606,1606,13,44,12,15,Y
607,607,1607,4,45,34,15,Y
608,608,1608,11,45,1,1,Y
609,609,1609,7,25,38,4,Y
610,610,1610,11,24,40,9,Y
611,611,1611,6,36,17,8,Y
612,612,1612,9,31,40,11,Y
613,613,1613,12,12,32,14,Y
614,614,1614,7,27,24,12,Y
615,615,1615,13,18,29,6,Y
616,616,1616,19,9,37,22,Y
617,617,1617,8,7,18,8,Y
618,618,1618,18,28,25,7,Y
619,619,1619,5,48,10,16,Y
620,620,1620,1,12,27,16,Y
621,621,1621,5,41,34,18,Y
622,622,1622,11,32,20,9,Y
623,623,1623,18,37,4,13,Y
624,624,1624,4,45,11,2,Y
625,625,1625,7,17,31,21,Y
626,626,1626,4,29,22,9,Y
627,627,1627,12,24,36,18,Y
628,628,1628,9,23,2,14,Y
629,629,1629,4,23,39,7,Y
630,630,1630,19,37,42,21,Y
631,631,1631,18,12,19,12,Y
632,632,1632,11,44,33,16,Y
633,633,1633,15,6,25,20,Y
634,634,1634,10,30,41,5,Y
635,635,1635,6,41,22,14,Y
636,636,1636,20,37,26,3,Y
637,637,1637,3,11,22,8,Y
638,638,1638,11,21,42,10,Y
639,639,1639,9,39,42,13,Y
640,640,1640,9,29,24,24,Y
641,641,1641,19,34,29,14,Y
642,642,1642,6,12,2,5,Y
643,643,1643,8,43,17,24,Y
644,644,1644,3,14,11,13,Y
645,645,1645,4,7,5,16,Y
646,646,1646,18,4,2,13,Y
647,647,1647,17,49,6,4,Y
648,648,1648,9,40,10,3,Y
649,649,1649,13,20,15,8,Y
650,650,1650,10,29,41,5,Y
651,651,1651,5,34,11,1,Y
652,652,1652,2,43,23,11,Y
653,653,1653,16,30,35,9,Y
654,654,1654,18,29,9,23,Y
655,655,1655,18,12,38,20,Y
656,656,1656,15,41,41,19,Y
657,657,1657,14,34,41,21,Y
658,658,1658,18,20,23,16,Y
659,659,1659,18,15,6,15,Y
660,660,1660,10,24,27,9,Y
661,661,1661,5,20,1,1,Y
662,662,1662,17,49,9,12,Y
663,663,1663,10,31,35,1,Y
664,664,1664,16,49,31,10,Y
665,665,1665,1,50,28,10,Y
666,666,1666,20,15,1,18,Y
667,667,1667,12,13,27,18,Y
668,668,1668,14,26,16,6,Y
669,669,1669,13,25,15,9,Y
670,670,1670,3,28,41,8,Y
671,671,1671,17,49,40,23,Y
672,672,1672,9,19,42,24,Y
673,673,1673,18,18,27,7,Y
674,674,1674,3,12,9,10,Y
675,675,1675,4,41,30,20,Y
676,676,1676,15,18,40,16,Y
677,677,1677,7,21,2,5,Y
678,678,1678,2,35,2,6,Y
679,679,1679,4,19,18,5,Y
680,680,1680,15,47,1,8,Y
681,681,1681,3,10,1,16,Y
682,682,1682,7,22,27,10,Y
683,683,1683,16,24,30,23,Y
684,684,1684,2,22,6,5,Y
685,685,1685,2,18,26,3,Y
686,686,1686,18,31,12,7,Y
687,687,1687,9,25,1,4,Y
688,688,1688,8,25,29,8,Y
689,689,1689,2,13,30,24,Y
690,690,1690,4,34,43,7,Y
691,691,1691,16,25,20,11,Y
692,692,1692,6,41,3,24,Y
693,693,1693,18,34,8,9,Y
694,694,1694,16,41,20,7,Y
695,695,1695,12,4,43,7,Y
696,696,1696,4,16,41,14,Y
697,697,1697,11,1,11,9,Y
698,698,1698,19,8,26,8,Y
699,699,1699,1,3,38,23,Y
700,700,1700,16,45,39,5,Y
701,701,1701,12,50,6,8,Y
702,702,1702,6,32,6,22,Y
703,703,1703,20,22,41,2,Y
704,704,1704,2,23,42,5,Y
705,705,1705,18,7,9,16,Y
706,706,1706,8,21,36,21,Y
707,707,1707,12,29,13,1,Y
708,708,1708,13,23,9,9,Y
709,709,1709,2,32,29,18,Y
710,710,1710,10,35,32,7,Y
711,711,1711,19,12,35,12,Y
712,712,1712,11,47,30,9,Y
713,713,1713,20,36,11,3,Y
714,714,1714,17,10,29,10,Y
715,715,1715,9,35,24,15,Y
716,716,1716,1,50,41,17,Y
717,717,1717,13,47,12,1,Y
718,718,1718,20,24,40,8,Y
719,719,1719,11,47,5,22,Y
720,720,1720,18,25,13,17,Y
721,721,1721,16,50,36,5,Y
722,722,1722,20,19,21,14,Y
723,723,1723,11,8,7,17,Y
724,724,1724,3,3,9,6,Y
725,725,1725,2,13,7,16,Y
726,726,1726,7,7,3,19,Y
727,727,1727,13,43,32,17,Y
728,728,1728,20,45,38,9,Y
729,729,1729,2,24,15,20,Y
730,730,1730,3,1,14,21,Y
731,731,1731,16,6,30,21,Y
732,732,1732,2,24,36,24,Y
733,733,1733,14,24,4,20,Y
734,734,1734,9,34,3,24,Y
735,735,1735,3,20,5,7,Y
736,736,1736,17,7,7,24,Y
737,737,1737,8,35,25,7,Y
738,738,1738,7,34,43,8,Y
739,739,1739,19,41,12,18,Y
740,740,1740,18,27,7,21,Y
741,741,1741,19,23,30,23,Y
742,742,1742,14,7,11,6,Y
743,743,1743,18,26,33,11,Y
744,744,1744,6,35,39,15,Y
745,745,1745,12,21,36,11,Y
746,746,1746,12,27,41,14,Y
747,747,1747,11,39,16,19,Y
748,748,1748,18,14,25,18,Y
749,749,1749,9,24,29,15,Y
750,750,1750,13,1,3,10,Y
751,751,1751,20,2,34,5,Y
752,752,1752,10,1,20,8,Y
753,753,1753,7,21,2,23,Y
754,754,1754,9,36,33,18,Y
755,755,1755,19,37,10,4,Y
756,756,1756,2,30,23,5,Y
757,757,1757,5,17,24,19,Y
758,758,1758,8,15,17,10,Y
759,759,1759,3,37,26,19,Y
760,760,1760,7,47,5,24,Y
761,761,1761,11,31,12,16,Y
762,762,1762,19,7,39,21,Y
763,763,1763,10,3,37,13,Y
764,764,1764,3,50,4,11,Y
765,765,1765,12,28,27,4,Y
766,766,1766,8,48,42,20,Y
767,767,1767,1,41,41,13,Y
768,768,1768,2,20,34,2,Y
769,769,1769,11,35,37,5,Y
