Network,ldz,Depot,Work Order,Root Work Order,Emergency Date,Gas Prevented,Time Difference,Address,MTD,Less 12,Great 12,Count
EG,SE,GUILDFORD,W1045022,W1045017,2026-05-27 04:12:00,2026-05-27 11:27:49,7.26,15 MARKET SQUARE GUILDFORD SE9 2DU,0,1,0,1
EG,WM,BIRMINGHAM,W1045023,W1045022,2026-05-27 16:58:00,2026-05-28 06:20:47,13.38,41 HIGH STREET BIRMINGHAM WM2 4AH,0,0,1,1
EG,NE,DURHAM,W1045024,W1045023,2026-05-26 12:07:00,2026-05-27 02:28:27,14.36,146 CHURCH LANE DURHAM NE1 5RX,0,0,1,1
EG,SO,BASINGSTOKE,W1045025,W1045020,2026-05-27 08:13:00,2026-05-27 19:35:01,11.37,81 CHURCH LANE BASINGSTOKE SO7 5JZ,0,1,0,1
EG,SE,GUILDFORD,W1045026,W1045023,2026-05-26 00:29:00,2026-05-26 11:18:57,10.83,145 MILL ROAD GUILDFORD SE9 2LT,0,1,0,1
EG,SE,HORSHAM,W1045027,W1045024,2026-05-26 07:23:00,2026-05-26 14:31:05,7.13,113 NEW STREET HORSHAM SE5 2DU,0,1,0,1
EG,SE,EASTBOURNE,W1045028,W1045027,2026-05-26 08:07:00,2026-05-26 21:54:12,13.79,191 NEW STREET EASTBOURNE SE5 3JE,1,0,1,1
EG,SC,INVERNESS,W1045029,W1045027,2026-05-27 16:31:00,2026-05-27 23:16:44,6.76,14 MILL ROAD INVERNESS SC7 1GF,1,1,0,1
EG,EA,CAMBRIDGE,W1045030,W1045027,2026-05-26 20:16:00,2026-05-27 02:02:38,5.78,114 NEW STREET CAMBRIDGE EA7 2DU,0,1,0,1
EG,NE,NEWCASTLE,W1045031,W1045029,2026-05-26 11:37:00,2026-05-26 21:41:39,10.08,111 KING STREET NEWCASTLE NE5 1AA,1,1,0,1
EG,EA,NORWICH,W1045032,W1045030,2026-05-26 21:06:00,2026-05-27 04:59:25,7.89,144 PARK AVENUE NORWICH EA3 5RX,0,1,0,1
EG,NW,LIVERPOOL,W1045033,W1045029,2026-05-26 05:47:00,2026-05-26 19:57:09,14.17,106 BROAD STREET LIVERPOOL NW4 4BH,1,0,1,1
EG,NW,WARRINGTON,W1045034,W1045030,2026-05-26 15:14:00,2026-05-26 21:25:43,6.2,118 STATION ROAD WARRINGTON NW4 5JZ,0,1,0,1
EG,EA,IPSWICH,W1045035,W1045031,2026-05-27 08:55:00,2026-05-27 13:40:49,4.76,198 BRIDGE ROAD IPSWICH EA9 1LA,1,1,0,1
EG,WM,BIRMINGHAM,W1045036,W1045035,2026-05-27 05:37:00,2026-05-27 20:12:16,14.59,68 HIGH STREET BIRMINGHAM WM7 2LT,1,0,1,1
EG,WM,WALSALL,W1045037,W1045032,2026-05-26 12:57:00,2026-05-26 23:17:32,10.34,66 HIGH STREET WALSALL WM7 2DU,0,1,0,1
EG,SC,INVERNESS,W1045038,W1045034,2026-05-26 21:58:00,2026-05-27 05:35:55,7.63,81 BROAD STREET INVERNESS SC2 4BH,1,1,0,1
EG,SE,EASTBOURNE,W1045039,W1045035,2026-05-27 12:44:00,2026-05-27 19:59:07,7.25,33 CHURCH LANE EASTBOURNE SE7 2EE,0,1,0,1
EG,SE,GUILDFORD,W1045040,W1045035,2026-05-26 09:18:00,2026-05-26 15:36:43,6.31,149 MARKET SQUARE GUILDFORD SE6 1GF,1,1,0,1
EG,NT,LINCOLN,W1045041,W1045039,2026-05-27 23:10:00,2026-05-28 10:24:50,11.25,73 NEW STREET LINCOLN NT6 1GF,0,1,0,1
EG,SC,ABERDEEN,W1045042,W1045040,2026-05-26 04:01:00,2026-05-26 08:31:30,4.51,122 MARKET SQUARE ABERDEEN SC2 4BH,1,1,0,1
EG,SO,BASINGSTOKE,W1045043,W1045041,2026-05-27 15:25:00,2026-05-27 22:06:01,6.68,168 CASTLE STREET BASINGSTOKE SO2 1AA,1,1,0,1
EG,SC,EDINBURGH,W1045044,W1045039,2026-05-27 01:35:00,2026-05-27 08:19:28,6.74,32 VICTORIA ROAD EDINBURGH SC8 3JE,1,1,0,1
EG,NT,MANSFIELD,W1045045,W1045040,2026-05-27 17:28:00,2026-05-28 07:20:09,13.87,191 VICTORIA ROAD MANSFIELD NT5 3AB,0,0,1,1
EG,SE,TUNBRIDGE WELLS,W1045046,W1045041,2026-05-27 20:15:00,2026-05-28 03:16:14,7.02,20 CASTLE STREET TUNBRIDGE WELLS SE4 5JZ,1,1,0,1
EG,WM,WOLVERHAMPTON,W1045047,W1045042,2026-05-26 04:09:00,2026-05-26 10:41:37,6.54,178 KING STREET WOLVERHAMPTON WM4 2DU,0,1,0,1
EG,SO,SALISBURY,W1045048,W1045045,2026-05-27 13:03:00,2026-05-27 19:19:30,6.28,108 PARK AVENUE SALISBURY SO1 5EE,1,1,0,1
EG,NT,NOTTINGHAM,W1045049,W1045046,2026-05-27 12:54:00,2026-05-28 02:42:29,13.81,108 NEW STREET NOTTINGHAM NT9 2DU,0,0,1,1
EG,NT,DERBY,W1045050,W1045047,2026-05-27 15:01:00,2026-05-27 23:17:38,8.28,172 BROAD STREET DERBY NT7 3BU,0,1,0,1
EG,NT,DERBY,W1045051,W1045046,2026-05-26 12:37:00,2026-05-26 22:49:29,10.21,7 MILL ROAD DERBY NT7 1GF,0,1,0,1
EG,NT,DERBY,W1045052,W1045051,2026-05-27 12:20:00,2026-05-27 18:39:41,6.33,84 STATION ROAD DERBY NT7 3BU,1,1,0,1
EG,SO,BOURNEMOUTH,W1045053,W1045052,2026-05-27 00:47:00,2026-05-27 10:43:00,9.93,90 CHURCH LANE BOURNEMOUTH SO2 1GF,0,1,0,1
EG,EA,IPSWICH,W1045054,W1045052,2026-05-26 19:09:00,2026-05-27 01:46:26,6.62,122 BROAD STREET IPSWICH EA4 2LT,1,1,0,1
EG,SE,TUNBRIDGE WELLS,W1045055,W1045052,2026-05-26 19:38:00,2026-05-27 10:14:03,14.6,184 MILL ROAD TUNBRIDGE WELLS SE3 3BU,1,0,1,1
EG,NE,DURHAM,W1045056,W1045055,2026-05-27 18:43:00,2026-05-28 08:42:17,13.99,97 PARK AVENUE DURHAM NE4 2DU,0,0,1,1
EG,SC,PAISLEY,W1045057,W1045054,2026-05-26 18:50:00,2026-05-26 23:17:06,4.45,137 PARK AVENUE PAISLEY SC6 1GF,0,1,0,1
EG,WM,BIRMINGHAM,W1045058,W1045054,2026-05-27 03:27:00,2026-05-27 18:01:07,14.57,163 VICTORIA ROAD BIRMINGHAM WM3 2DU,1,0,1,1
EG,NW,BOLTON,W1045059,W1045054,2026-05-27 14:27:00,2026-05-28 03:31:59,13.08,152 BRIDGE ROAD BOLTON NW4 1LA,0,0,1,1
EG,SE,GUILDFORD,W1045060,W1045058,2026-05-27 18:39:00,2026-05-28 06:00:00,11.35,87 HIGH STREET GUILDFORD SE6 3AB,0,1,0,1
EG,NT,DERBY,W1045061,W1045058,2026-05-27 10:17:00,2026-05-27 23:58:00,13.68,180 BRIDGE ROAD DERBY NT1 4AH,0,0,1,1
EG,NE,SUNDERLAND,W1045062,W1045058,2026-05-27 17:48:00,2026-05-28 00:26:36,6.64,122 BROAD STREET SUNDERLAND NE8 2DU,1,1,0,1
EG,EA,CAMBRIDGE,W1045063,W1045060,2026-05-26 12:44:00,2026-05-26 19:24:34,6.68,170 MARKET SQUARE CAMBRIDGE EA8 1LA,1,1,0,1
EG,SO,BASINGSTOKE,W1045064,W1045061,2026-05-27 22:29:00,2026-05-28 05:27:48,6.98,65 CHURCH LANE BASINGSTOKE SO4 2LT,1,1,0,1
EG,NE,DURHAM,W1045065,W1045063,2026-05-26 06:47:00,2026-05-26 16:06:34,9.33,186 MARKET SQUARE DURHAM NE9 3BU,1,1,0,1
EG,NE,SUNDERLAND,W1045066,W1045063,2026-05-26 11:11:00,2026-05-26 18:30:29,7.32,182 NEW STREET SUNDERLAND NE5 3JE,0,1,0,1
EG,EA,BEDFORD,W1045067,W1045064,2026-05-26 20:55:00,2026-05-27 09:11:50,12.28,27 HIGH STREET BEDFORD EA5 5RX,1,0,1,1
EG,NT,LINCOLN,W1045068,W1045065,2026-05-26 01:16:00,2026-05-26 15:37:06,14.35,123 MILL ROAD LINCOLN NT2 4BH,1,0,1,1
EG,NT,NOTTINGHAM,W1045069,W1045064,2026-05-26 04:09:00,2026-05-26 17:04:21,12.92,78 MILL ROAD NOTTINGHAM NT2 4EQ,1,0,1,1
EG,SC,PERTH,W1045070,W1045066,2026-05-27 09:55:00,2026-05-27 20:23:25,10.47,110 BRIDGE ROAD PERTH SC1 5RX,0,1,0,1
EG,SC,DUNDEE,W1045071,W1045068,2026-05-26 05:15:00,2026-05-26 11:09:43,5.91,20 KING STREET DUNDEE SC7 1AA,1,1,0,1
EG,NT,LEICESTER,W1045072,W1045071,2026-05-26 09:45:00,2026-05-26 16:51:35,7.11,117 MILL ROAD LEICESTER NT4 1GF,1,1,0,1
EG,SC,PERTH,W1045073,W1045072,2026-05-26 20:09:00,2026-05-27 10:08:33,13.99,37 MILL ROAD PERTH SC3 1AA,1,0,1,1
EG,SE,GUILDFORD,W1045074,W1045073,2026-05-27 22:19:00,2026-05-28 10:00:49,11.7,70 NEW STREET GUILDFORD SE8 4AH,1,1,0,1
EG,NE,DURHAM,W1045075,W1045074,2026-05-27 23:20:00,2026-05-28 09:58:27,10.64,7 MILL ROAD DURHAM NE1 4EQ,1,1,0,1
EG,EA,IPSWICH,W1045076,W1045072,2026-05-27 08:11:00,2026-05-27 23:08:59,14.97,112 BROAD STREET IPSWICH EA8 4BH,0,0,1,1
EG,NT,LEICESTER,W1045077,W1045073,2026-05-27 10:42:00,2026-05-27 15:51:02,5.15,42 STATION ROAD LEICESTER NT8 2EE,1,1,0,1
EG,SO,BASINGSTOKE,W1045078,W1045077,2026-05-27 02:20:00,2026-05-27 09:06:34,6.78,30 PARK AVENUE BASINGSTOKE SO9 4BH,0,1,0,1
EG,NT,LINCOLN,W1045079,W1045078,2026-05-26 16:23:00,2026-05-27 03:13:56,10.85,128 BROAD STREET LINCOLN NT1 3AB,0,1,0,1
EG,SE,BRIGHTON,W1045080,W1045078,2026-05-27 14:56:00,2026-05-28 02:36:50,11.68,32 HIGH STREET BRIGHTON SE4 1GF,0,1,0,1
EG,SE,BRIGHTON,W1045081,W1045080,2026-05-27 02:14:00,2026-05-27 17:08:53,14.91,30 VICTORIA ROAD BRIGHTON SE3 2LT,1,0,1,1
EG,SE,BRIGHTON,W1045082,W1045079,2026-05-27 15:30:00,2026-05-27 22:10:51,6.68,142 KING STREET BRIGHTON SE4 2EE,0,1,0,1
EG,NE,MIDDLESBROUGH,W1045083,W1045079,2026-05-27 16:17:00,2026-05-28 05:18:33,13.03,73 CASTLE STREET MIDDLESBROUGH NE8 5JZ,0,0,1,1
EG,NT,MANSFIELD,W1045084,W1045080,2026-05-27 10:35:00,2026-05-27 22:58:29,12.39,97 VICTORIA ROAD MANSFIELD NT6 5EE,0,0,1,1
EG,SC,PERTH,W1045085,W1045083,2026-05-27 01:20:00,2026-05-27 13:31:30,12.19,181 PARK AVENUE PERTH SC3 2EE,1,0,1,1
EG,EA,IPSWICH,W1045086,W1045081,2026-05-27 03:55:00,2026-05-27 17:12:43,13.3,26 NEW STREET IPSWICH EA8 5EE,0,0,1,1
EG,NW,STOCKPORT,W1045087,W1045085,2026-05-26 15:50:00,2026-05-27 06:29:40,14.66,87 MARKET SQUARE STOCKPORT NW7 2DU,0,0,1,1
EG,WM,DUDLEY,W1045088,W1045084,2026-05-27 20:45:00,2026-05-28 10:30:42,13.76,125 NEW STREET DUDLEY WM2 1AA,0,0,1,1
EG,SE,HORSHAM,W1045089,W1045088,2026-05-27 03:48:00,2026-05-27 14:46:16,10.97,26 VICTORIA ROAD HORSHAM SE5 3JE,0,1,0,1
EG,EA,NORWICH,W1045090,W1045089,2026-05-27 11:23:00,2026-05-27 20:07:15,8.74,63 NEW STREET NORWICH EA3 2EE,0,1,0,1
EG,NW,WARRINGTON,W1045091,W1045086,2026-05-27 19:43:00,2026-05-28 02:21:56,6.65,150 KING STREET WARRINGTON NW8 4EQ,1,1,0,1
EG,NT,LEICESTER,W1045092,W1045091,2026-05-27 09:43:00,2026-05-27 19:43:45,10.01,19 VICTORIA ROAD LEICESTER NT5 1LA,1,1,0,1
EG,SE,GUILDFORD,W1045093,W1045090,2026-05-26 12:54:00,2026-05-26 22:12:55,9.32,61 PARK AVENUE GUILDFORD SE6 5RX,1,1,0,1
EG,SE,CROYDON,W1045094,W1045090,2026-05-27 00:36:00,2026-05-27 14:06:56,13.52,200 CASTLE STREET CROYDON SE8 1AA,1,0,1,1
EG,SC,INVERNESS,W1045095,W1045093,2026-05-26 19:16:00,2026-05-27 06:43:19,11.46,185 BROAD STREET INVERNESS SC3 1GF,0,1,0,1
EG,EA,NORWICH,W1045096,W1045092,2026-05-26 18:23:00,2026-05-27 06:26:21,12.06,24 BRIDGE ROAD NORWICH EA7 1LA,0,0,1,1
EG,SC,EDINBURGH,W1045097,W1045092,2026-05-27 16:32:00,2026-05-28 06:34:54,14.05,43 BRIDGE ROAD EDINBURGH SC8 5EE,1,0,1,1
EG,WM,BIRMINGHAM,W1045098,W1045094,2026-05-26 04:48:00,2026-05-26 19:25:53,14.63,174 CASTLE STREET BIRMINGHAM WM7 1GF,1,0,1,1
EG,NE,GATESHEAD,W1045099,W1045098,2026-05-27 17:07:00,2026-05-28 02:07:09,9.0,173 CASTLE STREET GATESHEAD NE5 1GF,1,1,0,1
EG,WM,BIRMINGHAM,W1045100,W1045098,2026-05-27 00:39:00,2026-05-27 14:22:35,13.73,144 STATION ROAD BIRMINGHAM WM4 5EE,0,0,1,1
EG,NT,LEICESTER,W1045101,W1045097,2026-05-26 04:02:00,2026-05-26 18:26:31,14.41,78 VICTORIA ROAD LEICESTER NT2 2LT,0,0,1,1
EG,NW,STOCKPORT,W1045102,W1045098,2026-05-27 21:47:00,2026-05-28 09:26:40,11.66,139 PARK AVENUE STOCKPORT NW3 5RX,1,1,0,1
EG,NE,GATESHEAD,W1045103,W1045098,2026-05-27 08:02:00,2026-05-27 19:37:35,11.59,56 VICTORIA ROAD GATESHEAD NE4 3AB,1,1,0,1
EG,NE,MIDDLESBROUGH,W1045104,W1045099,2026-05-27 01:25:00,2026-05-27 08:27:04,7.03,32 VICTORIA ROAD MIDDLESBROUGH NE4 2LT,0,1,0,1
EG,EA,NORWICH,W1045105,W1045103,2026-05-26 18:13:00,2026-05-26 22:58:16,4.75,196 NEW STREET NORWICH EA4 4EQ,0,1,0,1
EG,WM,COVENTRY,W1045106,W1045101,2026-05-26 08:54:00,2026-05-26 23:43:27,14.82,34 NEW STREET COVENTRY WM3 5JZ,0,0,1,1
EG,EA,IPSWICH,W1045107,W1045106,2026-05-27 07:37:00,2026-05-27 15:10:41,7.56,45 BRIDGE ROAD IPSWICH EA3 1AA,1,1,0,1
EG,NE,NEWCASTLE,W1045108,W1045104,2026-05-27 11:32:00,2026-05-27 22:03:49,10.53,116 NEW STREET NEWCASTLE NE1 4EQ,1,1,0,1
EG,NT,NOTTINGHAM,W1045109,W1045108,2026-05-27 12:27:00,2026-05-27 23:59:49,11.55,126 CASTLE STREET NOTTINGHAM NT8 5EE,0,1,0,1
EG,NE,MIDDLESBROUGH,W1045110,W1045105,2026-05-26 02:08:00,2026-05-26 09:09:30,7.03,163 MARKET SQUARE MIDDLESBROUGH NE6 4AH,1,1,0,1
EG,SE,GUILDFORD,W1045111,W1045106,2026-05-27 03:50:00,2026-05-27 15:33:10,11.72,168 BROAD STREET GUILDFORD SE9 5EE,0,1,0,1
EG,SO,SALISBURY,W1045112,W1045110,2026-05-27 10:52:00,2026-05-27 19:51:18,8.99,107 CASTLE STREET SALISBURY SO6 2LT,1,1,0,1
EG,WM,WOLVERHAMPTON,W1045113,W1045110,2026-05-26 21:59:00,2026-05-27 07:12:01,9.22,24 MILL ROAD WOLVERHAMPTON WM7 2LT,0,1,0,1
EG,WM,COVENTRY,W1045114,W1045109,2026-05-26 18:35:00,2026-05-27 04:45:42,10.18,172 MILL ROAD COVENTRY WM6 2EE,1,1,0,1
EG,EA,NORWICH,W1045115,W1045110,2026-05-27 11:06:00,2026-05-27 21:27:25,10.36,55 KING STREET NORWICH EA8 1GF,0,1,0,1
EG,NE,MIDDLESBROUGH,W1045116,W1045111,2026-05-27 03:48:00,2026-05-27 10:51:51,7.06,58 PARK AVENUE MIDDLESBROUGH NE9 4BH,0,1,0,1
EG,SE,CROYDON,W1045117,W1045115,2026-05-27 22:48:00,2026-05-28 06:11:55,7.4,87 STATION ROAD CROYDON SE3 1AA,0,1,0,1
EG,SO,SOUTHAMPTON,W1045118,W1045116,2026-05-26 02:47:00,2026-05-26 12:37:07,9.84,97 PARK AVENUE SOUTHAMPTON SO6 3AB,0,1,0,1
EG,WM,WOLVERHAMPTON,W1045119,W1045116,2026-05-26 01:09:00,2026-05-26 06:52:53,5.73,159 HIGH STREET WOLVERHAMPTON WM2 1GF,1,1,0,1
EG,NT,LINCOLN,W1045120,W1045116,2026-05-27 13:17:00,2026-05-27 19:39:16,6.37,132 MILL ROAD LINCOLN NT7 1LA,0,1,0,1
EG,SE,EASTBOURNE,W1045121,W1045116,2026-05-27 16:42:00,2026-05-28 00:05:33,7.39,57 PARK AVENUE EASTBOURNE SE1 5RX,0,1,0,1
EG,SC,ABERDEEN,W1045122,W1045120,2026-05-26 08:18:00,2026-05-26 15:54:33,7.61,2 VICTORIA ROAD ABERDEEN SC7 2DU,0,1,0,1
EG,NW,STOCKPORT,W1045123,W1045118,2026-05-26 16:35:00,2026-05-27 05:45:00,13.17,91 MILL ROAD STOCKPORT NW1 2EE,1,0,1,1
EG,EA,PETERBOROUGH,W1045124,W1045123,2026-05-27 18:27:00,2026-05-28 04:45:26,10.31,182 BROAD STREET PETERBOROUGH EA5 2EE,0,1,0,1
EG,SO,SOUTHAMPTON,W1045125,W1045122,2026-05-26 19:29:00,2026-05-27 08:38:08,13.15,93 MILL ROAD SOUTHAMPTON SO2 2EE,0,0,1,1
EG,SO,BASINGSTOKE,W1045126,W1045122,2026-05-26 12:55:00,2026-05-26 20:19:46,7.41,87 CHURCH LANE BASINGSTOKE SO3 1LA,0,1,0,1
EG,NE,DURHAM,W1045127,W1045122,2026-05-26 11:22:00,2026-05-26 23:22:04,12.0,166 KING STREET DURHAM NE2 4EQ,0,1,0,1
EG,SE,HORSHAM,W1045128,W1045126,2026-05-26 20:04:00,2026-05-27 02:00:54,5.95,198 BROAD STREET HORSHAM SE8 3AB,1,1,0,1
EG,WM,WOLVERHAMPTON,W1045129,W1045127,2026-05-27 02:30:00,2026-05-27 11:21:51,8.86,78 BRIDGE ROAD WOLVERHAMPTON WM1 5RX,1,1,0,1
EG,NE,MIDDLESBROUGH,W1045130,W1045126,2026-05-27 01:03:00,2026-05-27 09:06:22,8.06,74 MILL ROAD MIDDLESBROUGH NE2 1GF,1,1,0,1
EG,NT,MANSFIELD,W1045131,W1045126,2026-05-26 14:58:00,2026-05-27 03:52:28,12.91,167 CHURCH LANE MANSFIELD NT8 1LA,0,0,1,1
EG,EA,PETERBOROUGH,W1045132,W1045131,2026-05-27 22:05:00,2026-05-28 07:38:00,9.55,45 HIGH STREET PETERBOROUGH EA8 4EQ,1,1,0,1
EG,NW,WIGAN,W1045133,W1045130,2026-05-27 12:26:00,2026-05-28 00:57:08,12.52,174 MARKET SQUARE WIGAN NW6 1AA,0,0,1,1
EG,WM,BIRMINGHAM,W1045134,W1045129,2026-05-27 09:16:00,2026-05-27 21:13:39,11.96,169 MARKET SQUARE BIRMINGHAM WM3 4BH,1,1,0,1
EG,NE,DURHAM,W1045135,W1045133,2026-05-27 09:41:00,2026-05-27 21:21:59,11.68,101 KING STREET DURHAM NE2 5RX,1,1,0,1
EG,SO,BOURNEMOUTH,W1045136,W1045134,2026-05-26 20:42:00,2026-05-27 05:21:26,8.66,93 HIGH STREET BOURNEMOUTH SO5 1LA,0,1,0,1
EG,SC,INVERNESS,W1045137,W1045133,2026-05-26 07:08:00,2026-05-26 12:50:15,5.7,76 MILL ROAD INVERNESS SC9 4AH,0,1,0,1
EG,WM,DUDLEY,W1045138,W1045136,2026-05-27 04:10:00,2026-05-27 10:09:21,5.99,178 MARKET SQUARE DUDLEY WM3 3BU,1,1,0,1
EG,EA,PETERBOROUGH,W1045139,W1045136,2026-05-26 14:39:00,2026-05-26 21:47:03,7.13,192 VICTORIA ROAD PETERBOROUGH EA9 4EQ,0,1,0,1
EG,SE,TUNBRIDGE WELLS,W1045140,W1045136,2026-05-26 11:43:00,2026-05-27 02:08:06,14.42,113 VICTORIA ROAD TUNBRIDGE WELLS SE5 3BU,1,0,1,1
EG,SO,PORTSMOUTH,W1045141,W1045139,2026-05-26 08:03:00,2026-05-26 19:06:10,11.05,96 NEW STREET PORTSMOUTH SO2 5EE,0,1,0,1
EG,SE,CROYDON,W1045142,W1045140,2026-05-27 14:57:00,2026-05-28 00:35:48,9.65,112 MILL ROAD CROYDON SE4 5EE,1,1,0,1
EG,WM,BIRMINGHAM,W1045143,W1045139,2026-05-26 12:32:00,2026-05-26 20:38:48,8.11,99 MILL ROAD BIRMINGHAM WM4 1LA,0,1,0,1
EG,WM,BIRMINGHAM,W1045144,W1045141,2026-05-26 04:02:00,2026-05-26 11:11:20,7.16,121 CASTLE STREET BIRMINGHAM WM3 4BH,1,1,0,1
EG,NT,MANSFIELD,W1045145,W1045144,2026-05-26 00:16:00,2026-05-26 06:38:19,6.37,39 NEW STREET MANSFIELD NT9 2DU,1,1,0,1
EG,NE,MIDDLESBROUGH,W1045146,W1045144,2026-05-27 03:03:00,2026-05-27 09:40:22,6.62,164 MARKET SQUARE MIDDLESBROUGH NE2 3AB,0,1,0,1
EG,NT,MANSFIELD,W1045147,W1045142,2026-05-26 20:32:00,2026-05-27 06:51:31,10.33,184 KING STREET MANSFIELD NT7 5JZ,0,1,0,1
EG,WM,COVENTRY,W1045148,W1045143,2026-05-27 05:42:00,2026-05-27 17:03:01,11.35,135 STATION ROAD COVENTRY WM9 2LT,0,1,0,1
EG,SO,SALISBURY,W1045149,W1045148,2026-05-27 11:16:00,2026-05-27 23:29:13,12.22,92 MILL ROAD SALISBURY SO4 1LA,0,0,1,1
EG,WM,COVENTRY,W1045150,W1045149,2026-05-27 17:21:00,2026-05-28 06:17:54,12.95,45 BROAD STREET COVENTRY WM8 3AB,0,0,1,1
EG,NW,WARRINGTON,W1045151,W1045147,2026-05-26 09:12:00,2026-05-26 13:40:54,4.48,52 HIGH STREET WARRINGTON NW5 1LA,1,1,0,1
EG,NT,LEICESTER,W1045152,W1045151,2026-05-26 09:22:00,2026-05-26 22:51:00,13.48,13 BROAD STREET LEICESTER NT5 1LA,0,0,1,1
EG,WM,WALSALL,W1045153,W1045149,2026-05-27 12:21:00,2026-05-28 03:03:39,14.71,128 CASTLE STREET WALSALL WM6 3AB,1,0,1,1
EG,NE,GATESHEAD,W1045154,W1045153,2026-05-27 19:52:00,2026-05-28 01:51:06,5.99,76 STATION ROAD GATESHEAD NE2 2LT,1,1,0,1
EG,SE,MAIDSTONE,W1045155,W1045151,2026-05-27 05:44:00,2026-05-27 14:36:58,8.88,115 HIGH STREET MAIDSTONE SE6 2DU,1,1,0,1
EG,SE,EASTBOURNE,W1045156,W1045155,2026-05-26 21:40:00,2026-05-27 06:08:05,8.47,132 CASTLE STREET EASTBOURNE SE3 1GF,0,1,0,1
EG,NW,SALFORD,W1045157,W1045156,2026-05-26 02:15:00,2026-05-26 14:48:49,12.56,94 STATION ROAD SALFORD NW1 2EE,0,0,1,1
EG,NT,LEICESTER,W1045158,W1045155,2026-05-27 02:36:00,2026-05-27 08:06:52,5.51,94 PARK AVENUE LEICESTER NT5 1LA,0,1,0,1
